"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"285",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",4,4,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0
"287",4,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"288",4,4,0,3,4,0,0,0,0,0,0,0,4,0,0,0,0
"289",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"290",4,4,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0
"291",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"292",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",3,3,3,2,0,0,3,0,0,0,0,0,1,0,0,0,0
"295",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",4,4,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0
"299",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"301",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"302",4,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
"303",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",4,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"306",4,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0
"307",4,4,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0
"308",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"309",3,3,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0
"310",4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"311",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",4,4,4,0,4,0,NA,0,0,0,0,0,0,0,0,0,0
"313",4,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
"314",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"316",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",4,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
"319",4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"320",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",4,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
"322",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"324",4,4,3,0,1,0,0,0,0,0,0,0,1,1,3,1,0
"325",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",4,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"328",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330",3,3,3,0,0,0,1,0,0,0,3,0,0,0,1,2,0
"331",4,4,4,4,0,0,1,0,0,NA,0,0,0,0,0,0,0
"332",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"333",4,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
